,Original,Type,Param1,Param2,Stat,Sign,Reported p-value
169363,"F(1, 25) = 6.20, p < .05",f,1.0,25.0,6.2,<,0.05
128329,"F(2, 66) = 5.32, p = .007",f,2.0,66.0,5.32,=,0.007
171323,"F(2, 26) = 113.151, p < .001",f,2.0,26.0,113.151,<,0.001
106253,"F(3, 45) = 3.2, p = .03",f,3.0,45.0,3.2,=,0.03
122347,"t(35) = 3.62, p <.01",t,35.0,,3.62,<,0.01
115658,"F(1, 31) = 18.37, p < .001",f,1.0,31.0,18.37,<,0.001
73864,"F(4, 147) =   3.80, p < .01",f,4.0,147.0,3.8,<,0.01
169730,"F(1, 8833) = 4.11, p < .05",f,1.0,8833.0,4.11,<,0.05
41717,"t(409) = −3.16, p < .002",t,409.0,,-3.16,<,0.002
98677,"t(109) = 2.82, p = .006",t,109.0,,2.82,=,0.006
111872,"t(64) = 2.39, p < .05",t,64.0,,2.39,<,0.05
193654,"F(1, 15) = 34.93, p < .005",f,1.0,15.0,34.93,<,0.005
93755,"F(2, 42) = 4.03, p   < .05",f,2.0,42.0,4.03,<,0.05
162378,"F(1, 35) = 7.19, p < .01",f,1.0,35.0,7.19,<,0.01
163684,"F(1, 94) = 74.45, p < .001",f,1.0,94.0,74.45,<,0.001
65341,"F(1, 38) = 46.47, p < .0001",f,1.0,38.0,46.47,<,0.0001
28422,"F(1, 9) = 7.06, p < .05",f,1.0,9.0,7.06,<,0.05
92976,"F(1, 76) = 4.90, p < .05",f,1.0,76.0,4.9,<,0.05
140539,"F(3, 143)   = 7.67, p   < .001",f,3.0,143.0,7.67,<,0.001
35213,"t(392) = −3.77, p < .001",t,392.0,,-3.77,<,0.001
99837,"F(1, 11) = 23.0, p = .0006",f,1.0,11.0,23.0,=,0.0006
109482,"t(12)   = −4.6,  p   < .001",t,12.0,,-4.6,<,0.001
48353,"F(1, 84)   = 99.32,    p   < .001",f,1.0,84.0,99.32,<,0.001
122970,"t(56) = 7.48, p < .001",t,56.0,,7.48,<,0.001
167602,"F(1, 152) = 20.13, p < .001",f,1.0,152.0,20.13,<,0.001
63406,"t(154) = 4.46, p < .001",t,154.0,,4.46,<,0.001
98174,"F(1, 109) = 11.54, p < .001",f,1.0,109.0,11.54,<,0.001
74774,"F(1, 193) = 5.99, p < .05",f,1.0,193.0,5.99,<,0.05
69103,"F(1, 420) = 17.26, p < .001",f,1.0,420.0,17.26,<,0.001
177384,"F(1, 22) = 52.08, p <.01",f,1.0,22.0,52.08,<,0.01
56827,"t(128) = 3.23, p <.01",t,128.0,,3.23,<,0.01
37408,"F(1, 91) = 25.62, p < .01",f,1.0,91.0,25.62,<,0.01
66620,"t(46)= 2.94, p< .005",t,46.0,,2.94,<,0.005
29277,"F(2, 101) = 34.56, p < .001",f,2.0,101.0,34.56,<,0.001
22220,"F(1, 190) = 112.35, p   < .001",f,1.0,190.0,112.35,<,0.001
175652,"F(3, 111) = 2.76, p < .05",f,3.0,111.0,2.76,<,0.05
13776,"t(28) = −4.42, p   < .0001",t,28.0,,-4.42,<,0.0001
132273,"t(54) = 2.26, p < .03",t,54.0,,2.26,<,0.03
149070,"t(24) = 5.14, p < .001",t,24.0,,5.14,<,0.001
195814,"F(1, 27) = 4.12, p < .05",f,1.0,27.0,4.12,<,0.05
118551,"F(3, 367) = 3.95, p < .01",f,3.0,367.0,3.95,<,0.01
53664,"F(1, 1239) = 74.14, p < .001",f,1.0,1239.0,74.14,<,0.001
114616,"t(76) = 3.67, p <.01",t,76.0,,3.67,<,0.01
100443,"F(98, 571) = 9.05, p   < .001",f,98.0,571.0,9.05,<,0.001
66299,"t(34) = 2.54, p < .05",t,34.0,,2.54,<,0.05
132017,"t(28) = 3.41, p < .001",t,28.0,,3.41,<,0.001
149021,"F(1, 109) = 4.35, p < .05",f,1.0,109.0,4.35,<,0.05
106916,"F(1, 42) = 5.27, p < .05",f,1.0,42.0,5.27,<,0.05
