,Original,Type,Param1,Param2,Stat,Sign,Reported p-value
52982,"F(2, 31) = 5.76, p <.01",f,2.0,31.0,5.76,<,0.01
155075,"t   (27) = 2.78, p    < .005",t,27.0,,2.78,<,0.005
9004,"t(166) = 2.70, p   < .01",t,166.0,,2.7,<,0.01
91068,"t(35) = 3.25, p < .005",t,35.0,,3.25,<,0.005
189557,"F   (1, 45) = 6.54, p = .01",f,1.0,45.0,6.54,=,0.01
135629,"F(2, 69) = 12.87, p < .0005",f,2.0,69.0,12.87,<,0.0005
58631,"F(1, 32) = 20.37, p < .001",f,1.0,32.0,20.37,<,0.001
132558,"F(1, 622) = 23.63, p < .01",f,1.0,622.0,23.63,<,0.01
138498,"F(1, 31) = 23.81, p < .001",f,1.0,31.0,23.81,<,0.001
110259,"F(1, 5019) = 22.57, p < .001",f,1.0,5019.0,22.57,<,0.001
1147,"F(1, 92) = 15.97, p < .001",f,1.0,92.0,15.97,<,0.001
157309,"F(3, 52) = 2.82, p < .05",f,3.0,52.0,2.82,<,0.05
172534,"F(1, 51) = 4.01, p = .05",f,1.0,51.0,4.01,=,0.05
80108,"F(1, 93) = 6.68, p < .05",f,1.0,93.0,6.68,<,0.05
149024,"F(1, 78) = 5.49, p < .05",f,1.0,78.0,5.49,<,0.05
134679,"F(2, 64) = 6.95, p < .01",f,2.0,64.0,6.95,<,0.01
68386,"F(1, 116) = 4.93, p < .05",f,1.0,116.0,4.93,<,0.05
45925,"F(1, 72)   = 7.94,    p   < .006",f,1.0,72.0,7.94,<,0.006
2827,"t(12) = 3.00, p = .01",t,12.0,,3.0,=,0.01
184041,"F(1, 13)   = 17.86,   p   < .001",f,1.0,13.0,17.86,<,0.001
10785,"t(32) = −4.50, p < .001",t,32.0,,-4.5,<,0.001
92906,"F(1, 129) = 5.69, p < .019",f,1.0,129.0,5.69,<,0.019
151722,"t(164) = −2.50, p = .01",t,164.0,,-2.5,=,0.01
187491,"t(967) = 7.24, p < .01",t,967.0,,7.24,<,0.01
40318,"F(1, 73) = 4.23, p = .04",f,1.0,73.0,4.23,=,0.04
5205,"t(231) = 2.91, p = .004",t,231.0,,2.91,=,0.004
119706,"t(21)   = 2.74,  p   < .02",t,21.0,,2.74,<,0.02
16433,"t(20)   = 5.50,  p   < .0001",t,20.0,,5.5,<,0.0001
51411,"t(177) = 2.67, p = .008",t,177.0,,2.67,=,0.008
60556,"F(1, 132) = 4.40, p = .038",f,1.0,132.0,4.4,=,0.038
110068,"t(933) = 2.39, p = .02",t,933.0,,2.39,=,0.02
75626,"t(71) = 2.57, p = .012",t,71.0,,2.57,=,0.012
17401,"t(196) = 7.11, p < .001",t,196.0,,7.11,<,0.001
115346,"F(1, 18) = 30.68, p < .001",f,1.0,18.0,30.68,<,0.001
180603,"F(1, 17) = 34.9, p < .001",f,1.0,17.0,34.9,<,0.001
142243,"t(52) = 10.96, p < .001",t,52.0,,10.96,<,0.001
74518,"t(38) = 2.29, p   < .03",t,38.0,,2.29,<,0.03
103862,"F(1, 89) = 31.31, p < .0001",f,1.0,89.0,31.31,<,0.0001
125798,"F(2, 134) = 6.77, p   < .002",f,2.0,134.0,6.77,<,0.002
185544,"t(190) = 2.38, p < .05",t,190.0,,2.38,<,0.05
180594,"F(1, 108) = 4.26, p <.05",f,1.0,108.0,4.26,<,0.05
52990,"F(1, 21) = 12.67, p <.01",f,1.0,21.0,12.67,<,0.01
86624,"t(360) = 3.07, p < .01",t,360.0,,3.07,<,0.01
139304,"t(45) = 3.46, p < .01",t,45.0,,3.46,<,0.01
55699,"t(28) = 3.19, p < .01",t,28.0,,3.19,<,0.01
34470,"F(1, 107) = 7.28, p <.008",f,1.0,107.0,7.28,<,0.008
40302,"F(1, 70) = 28.42, p = .001",f,1.0,70.0,28.42,=,0.001
172321,"t(88) = 1.51, p > .05",t,88.0,,1.51,>,0.05
106504,"F(1, 269) = 13.70, p < .001",f,1.0,269.0,13.7,<,0.001
96587,"t(95) = 3.93, p < .001",t,95.0,,3.93,<,0.001
26773,"F(2, 36) = 3.76, p < .05",f,2.0,36.0,3.76,<,0.05
94296,"F(2, 167)   = 5.30,p <.01",f,2.0,167.0,5.3,<,0.01
58649,"F(1, 66) = 33.07, p < .001",f,1.0,66.0,33.07,<,0.001
174286,"F(7, 35) = 3.29, p < .01",f,7.0,35.0,3.29,<,0.01
181264,"t(39) = 3.46, p <.01",t,39.0,,3.46,<,0.01
179454,"F(1, 40) =   87.96, p <.01",f,1.0,40.0,87.96,<,0.01
39965,"t(119) = −2.05, p <.05",t,119.0,,-2.05,<,0.05
113839,"F(1, 255) = 12.01, p = .001",f,1.0,255.0,12.01,=,0.001
89446,"t(28) = −0.16, p > .05",t,28.0,,-0.16,>,0.05
87941,"t(116) = −1.95, p <   .05",t,116.0,,-1.95,<,0.05
130250,"t(2,219) = −2.95, p = .003",t,219.0,,-2.95,=,0.003
102749,"F(2, 38) = 6.66, p <.005",f,2.0,38.0,6.66,<,0.005
74343,"F(1, 368) = 17.16, p < .001",f,1.0,368.0,17.16,<,0.001
143366,"F(1, 23) = 9.48, p < .01",f,1.0,23.0,9.48,<,0.01
37438,"F(1, 93) = 7.44, p < .01",f,1.0,93.0,7.44,<,0.01
154285,"F(1, 44)   = 9.46, p <   .001",f,1.0,44.0,9.46,<,0.001
153630,"t(100) = 1.96, p = .05",t,100.0,,1.96,=,0.05
8056,"F(15, 180)   = 1.73,    p   < .05",f,15.0,180.0,1.73,<,0.05
30206,"t(70) = −3.843, p < .0001",t,70.0,,-3.843,<,0.0001
104487,"t(34) = 2.93, p = .006",t,34.0,,2.93,=,0.006
111549,"t(3611) = −3.15, p = .017",t,3611.0,,-3.15,=,0.017
7632,"F(1, 39) = 33.40, p   < .001",f,1.0,39.0,33.4,<,0.001
82377,"t(53) = 3.07, p < .005",t,53.0,,3.07,<,0.005
55804,"F(2, 254) = 57.79, p < .001",f,2.0,254.0,57.79,<,0.001
22383,"t   (98) = 9.95, p < .001",t,98.0,,9.95,<,0.001
51878,"F(1, 369) = 9.85, p   < .01",f,1.0,369.0,9.85,<,0.01
48765,"t(107) = −2.09, p <.05",t,107.0,,-2.09,<,0.05
184644,"t(46) = 2.72, p < .01",t,46.0,,2.72,<,0.01
38897,"t(96) = 2.00, p = .048",t,96.0,,2.0,=,0.048
127093,"F(1, 28) = 20.43, p < .001",f,1.0,28.0,20.43,<,0.001
171797,"F(2, 108) = 5.1, p = .008",f,2.0,108.0,5.1,=,0.008
139324,"t(29) = 3.18, p < .01",t,29.0,,3.18,<,0.01
82597,"t(119) = 3.28, p < .001",t,119.0,,3.28,<,0.001
626,"F(6, 44) = 12.48, p < .001",f,6.0,44.0,12.48,<,0.001
139579,"F(6, 387) = 7.672, p = .001",f,6.0,387.0,7.672,=,0.001
161541,"t(49) = 4.34, p   < .001",t,49.0,,4.34,<,0.001
63087,"F(1, 36) = 46.14, p < .001",f,1.0,36.0,46.14,<,0.001
75702,"F(2, 78)= 17.43, p< .001",f,2.0,78.0,17.43,<,0.001
179950,"F(1, 53) = 6.50, p < .01",f,1.0,53.0,6.5,<,0.01
27155,"F(1, 86) = 4.20, p < .04",f,1.0,86.0,4.2,<,0.04
31454,"F(3, 654) = 98.94, p < .001",f,3.0,654.0,98.94,<,0.001
26919,"F(1, 86) = 4.29, p = .04",f,1.0,86.0,4.29,=,0.04
87907,"t(34) = 2.02, p = .05",t,34.0,,2.02,=,0.05
167057,"t(47) = 3.74, p = .001",t,47.0,,3.74,=,0.001
116575,"t(3116) = −3.54, p < .001",t,3116.0,,-3.54,<,0.001
157585,"t   (174) = 3.87, p = .000",t,174.0,,3.87,=,0.0
107715,"F(1, 160) = 6.75, p = .01",f,1.0,160.0,6.75,=,0.01
112613,"F(2, 82) = 29.87, p < .000",f,2.0,82.0,29.87,<,0.0
150083,"F(1, 21) = 37.6, p < .001",f,1.0,21.0,37.6,<,0.001
104114,"t(640) = 6.01, p < .001",t,640.0,,6.01,<,0.001
20715,"t(141) = 2.21, p   < .05",t,141.0,,2.21,<,0.05
164745,"F(8, 48) = 2.38, p < .03",f,8.0,48.0,2.38,<,0.03
90641,"F(1, 124) = 120.17, p < .001",f,1.0,124.0,120.17,<,0.001
174235,"F(6, 86) = 3.73, p < .002",f,6.0,86.0,3.73,<,0.002
58758,"t(33) = 2.31, p = .014",t,33.0,,2.31,=,0.014
140132,"F(1, 420) = 4.38, p = .037",f,1.0,420.0,4.38,=,0.037
50187,"t(166) = −2.40, p = .02",t,166.0,,-2.4,=,0.02
75703,"F(1, 78)= 9.56, p< .005",f,1.0,78.0,9.56,<,0.005
64141,"t(903) = −3.12, p < .01",t,903.0,,-3.12,<,0.01
140350,"F(1, 98) = 34.22, p < .01",f,1.0,98.0,34.22,<,0.01
84304,"t(84) = 2.05, p < .05",t,84.0,,2.05,<,0.05
147387,"F(1, 140) = 52.167, p < .001",f,1.0,140.0,52.167,<,0.001
94147,"F(1, 586) = 4.02, p   < .05",f,1.0,586.0,4.02,<,0.05
69283,"t(96) = 2.50, p < .05",t,96.0,,2.5,<,0.05
41522,"F(1, 153) = 7.81, p = .006",f,1.0,153.0,7.81,=,0.006
80839,"t(79) = 2.23, p = .029",t,79.0,,2.23,=,0.029
40043,"F(1, 141) =   12.79, p < .001",f,1.0,141.0,12.79,<,0.001
91495,"F(1, 22) = 10.90, p < .005",f,1.0,22.0,10.9,<,0.005
109184,"F(1, 46) = 115.03, p <.001",f,1.0,46.0,115.03,<,0.001
91998,"F(1, 187) = 7.40, p < .01",f,1.0,187.0,7.4,<,0.01
54493,"F(1, 216) = 8.40,   p < .005",f,1.0,216.0,8.4,<,0.005
78398,"F(2, 240) = 5.61, p < .01",f,2.0,240.0,5.61,<,0.01
188944,"t(19) = 3.81, p < .001",t,19.0,,3.81,<,0.001
196322,"F(6, 126) = 3.74, p < .002",f,6.0,126.0,3.74,<,0.002
53676,"F(1, 237) = 8.82, p = .003",f,1.0,237.0,8.82,=,0.003
155229,"t(34) = 2.37, p < .05",t,34.0,,2.37,<,0.05
162452,"F(2, 51) = 15.44, p < .0001",f,2.0,51.0,15.44,<,0.0001
175664,"F(1, 30) = 0.134, p > .05",f,1.0,30.0,0.134,>,0.05
145886,"F(2, 56) = 3.84, p = .03",f,2.0,56.0,3.84,=,0.03
109984,"F(1, 19) = 19.58, p < .001",f,1.0,19.0,19.58,<,0.001
1176,"F(1, 63) = 17.67, p < .001",f,1.0,63.0,17.67,<,0.001
55192,"t(26) = 2.06, p = .05",t,26.0,,2.06,=,0.05
146975,"F(3, 162) = 3.07, p < .05",f,3.0,162.0,3.07,<,0.05
158805,"F(1, 582) = 161.23, p < .01",f,1.0,582.0,161.23,<,0.01
192432,"F(1, 67) = 24.57, p < .05",f,1.0,67.0,24.57,<,0.05
40351,"F(1, 46) = 7.51, p   < .01",f,1.0,46.0,7.51,<,0.01
3988,"t(63) = 2.02, p < .05",t,63.0,,2.02,<,0.05
35762,"F(24, 61) = 1.93, p < .03",f,24.0,61.0,1.93,<,0.03
34817,"F(6, 284) = 5.226, p < .001",f,6.0,284.0,5.226,<,0.001
36162,"F(1, 88) = 13.50, p < .0005",f,1.0,88.0,13.5,<,0.0005
178250,"t(164) = −4.34, p < .001",t,164.0,,-4.34,<,0.001
97570,"F(1, 59) = 4.64, p <.05",f,1.0,59.0,4.64,<,0.05
115209,"F(2, 158) = 3.58, p   < .05",f,2.0,158.0,3.58,<,0.05
189519,"t   (287) = 2.79, p   < .01",t,287.0,,2.79,<,0.01
80185,"F(1, 232) = 9.41, p < .01",f,1.0,232.0,9.41,<,0.01
165014,"t(18) = −5.86, p =.0001",t,18.0,,-5.86,=,0.0001
195848,"F(4, 76) = 4.41, p = .03",f,4.0,76.0,4.41,=,0.03
7072,"t(72) = 2.65, p < .01",t,72.0,,2.65,<,0.01
174887,"F(1, 65) = 13.45, p < .0001",f,1.0,65.0,13.45,<,0.0001
186361,"F(3, 567)   = 8.53,  p   < .01",f,3.0,567.0,8.53,<,0.01
20230,"F(1, 27) = 5.70, p = .024",f,1.0,27.0,5.7,=,0.024
189830,"F(1, 21) = 38.78, p < .001",f,1.0,21.0,38.78,<,0.001
119440,"F(9, 10) = 5.18, p =.008",f,9.0,10.0,5.18,=,0.008
1436,"F(1, 56) = 38.58, p <.001",f,1.0,56.0,38.58,<,0.001
24572,"F(1, 60) = 5.90, p < .05",f,1.0,60.0,5.9,<,0.05
58297,"F(1, 307) = 5.23, p = .023",f,1.0,307.0,5.23,=,0.023
128340,"t(66) = 3.44, p = .001",t,66.0,,3.44,=,0.001
64992,"F   (1,   55) = 4.89, p <   .04",f,1.0,55.0,4.89,<,0.04
70120,"t(169) = 2.05, p = .042",t,169.0,,2.05,=,0.042
24285,"F(2, 120) = 9.94, p < .001",f,2.0,120.0,9.94,<,0.001
197172,"F(1, 22) = 6.58, p < .01",f,1.0,22.0,6.58,<,0.01
170388,"F(2, 97) = 77.39, p < .001",f,2.0,97.0,77.39,<,0.001
69281,"t(100) = 2.11, p < .05",t,100.0,,2.11,<,0.05
59576,"F(1, 96) = 6.63, p < .05",f,1.0,96.0,6.63,<,0.05
169747,"t(382) = 2.49, p <.05",t,382.0,,2.49,<,0.05
153048,"F(2, 186)   = 8.74,    p   < .005",f,2.0,186.0,8.74,<,0.005
16819,"F(1, 29) = 8.49, p < .007",f,1.0,29.0,8.49,<,0.007
131528,"F(2, 393) = 6.671, p = .001",f,2.0,393.0,6.671,=,0.001
64013,"t(296) = −1.65, p < .05",t,296.0,,-1.65,<,0.05
27545,"F(1, 62) = 7.55, p < .01",f,1.0,62.0,7.55,<,0.01
130948,"F(8, 320) = 6.23, p < .001",f,8.0,320.0,6.23,<,0.001
120364,"F(2, 130) = 5.82, p <.01",f,2.0,130.0,5.82,<,0.01
153786,"F(3, 161) = 2.96, p < .05",f,3.0,161.0,2.96,<,0.05
82908,"F(2, 24) = 3.63, p < .05",f,2.0,24.0,3.63,<,0.05
33560,"F(1, 90) = 4.48, p =.04",f,1.0,90.0,4.48,=,0.04
49115,"F(1, 41) = 4.29, p < .05",f,1.0,41.0,4.29,<,0.05
98109,"F(3, 106) = 18.15, p < .0001",f,3.0,106.0,18.15,<,0.0001
27054,"F(1, 34) = 6.35, p = .017",f,1.0,34.0,6.35,=,0.017
114067,"t(18) = −8.7, p < .001",t,18.0,,-8.7,<,0.001
76976,"t(91) = 2.75, p < .01",t,91.0,,2.75,<,0.01
176397,"F(2, 92) = 32.32, p < .001",f,2.0,92.0,32.32,<,0.001
97556,"F(1, 46) = 4.71, p <.05",f,1.0,46.0,4.71,<,0.05
61149,"t(1,192) = 5.36, p < .001",t,192.0,,5.36,<,0.001
12238,"F(2, 38) = 12.84, p < .0001",f,2.0,38.0,12.84,<,0.0001
94111,"t(85) = 6.80,   p < .001",t,85.0,,6.8,<,0.001
34154,"F(3, 276) = 4.04, p < .01",f,3.0,276.0,4.04,<,0.01
150728,"F(1, 104) = 10.51, p < .05",f,1.0,104.0,10.51,<,0.05
86113,"F(1, 39) = 4.26, p <.05",f,1.0,39.0,4.26,<,0.05
159925,"F(3, 134) = 5.08, p < .002",f,3.0,134.0,5.08,<,0.002
129234,"F(1, 169) = 128.77, p < .001",f,1.0,169.0,128.77,<,0.001
189694,"t(13) = 2.7, p < .05",t,13.0,,2.7,<,0.05
65427,"F(1, 39) = 30.25, p < .001",f,1.0,39.0,30.25,<,0.001
51786,"t(74) = 7.65, p < .001",t,74.0,,7.65,<,0.001
165111,"F(1, 672) = 91.72, p < .001",f,1.0,672.0,91.72,<,0.001
179633,"F(2, 53) = 4.24, p   = .02",f,2.0,53.0,4.24,=,0.02
45391,"F(2, 54) = 4.23, p = .02",f,2.0,54.0,4.23,=,0.02
103598,"F(1, 107) =   4.64,p <.05",f,1.0,107.0,4.64,<,0.05
181013,"F(1, 21) = 62.60, p < .0001",f,1.0,21.0,62.6,<,0.0001
12307,"F(1, 14) = 45.43, p < .001",f,1.0,14.0,45.43,<,0.001
145532,"F(1, 44) = 13.8867, p < .001",f,1.0,44.0,13.8867,<,0.001
54943,"t(121) = 2.11, p = .04",t,121.0,,2.11,=,0.04
47648,"F(1, 203) = 8.68, p < .004",f,1.0,203.0,8.68,<,0.004
29067,"F(1, 97) = 7.78,   p < .01",f,1.0,97.0,7.78,<,0.01
25445,"F(1, 178) = 4.30, p = .04",f,1.0,178.0,4.3,=,0.04
80551,"t(261) = 2.04, p = .043",t,261.0,,2.04,=,0.043
73486,"F(1, 110) = 13.65, p < .001",f,1.0,110.0,13.65,<,0.001
175369,"F(1, 23) = 23.30, p < .001",f,1.0,23.0,23.3,<,0.001
162295,"t(40) = 4.35, p < .05",t,40.0,,4.35,<,0.05
158543,"F(1, 119) = 54.69, p < .001",f,1.0,119.0,54.69,<,0.001
142939,"F(2, 74) = 3.325, p < .05",f,2.0,74.0,3.325,<,0.05
193045,"t(244) = 5.90, p < .001",t,244.0,,5.9,<,0.001
133305,"F(1, 44) = 11.3, p = .002",f,1.0,44.0,11.3,=,0.002
25715,"t(85) = −2.67, p < .01",t,85.0,,-2.67,<,0.01
125617,"t(9) = 2.54, p < .014",t,9.0,,2.54,<,0.014
170330,"t(31) = 5.42,p= .000",t,31.0,,5.42,=,0.0
69048,"F(1, 119) = 8.80, p< .01",f,1.0,119.0,8.8,<,0.01
179704,"F(1, 401)   = 9.45,  p   < .005",f,1.0,401.0,9.45,<,0.005
67856,"F(1, 78) = 10.27, p < .01",f,1.0,78.0,10.27,<,0.01
120452,"F(6, 64) = 5.28, p < .001",f,6.0,64.0,5.28,<,0.001
168833,"F(1, 86) = 193.271, p < .001",f,1.0,86.0,193.271,<,0.001
179821,"F(5, 155) =   40.73, p < .01",f,5.0,155.0,40.73,<,0.01
149672,"t(14) = 31.73, p < .001",t,14.0,,31.73,<,0.001
113236,"F(4, 392) = 289.942, p < .001",f,4.0,392.0,289.942,<,0.001
177842,"F(1, 41) = 5.89, p < .05",f,1.0,41.0,5.89,<,0.05
68613,"F(1, 40) = 5.44, p   < .05",f,1.0,40.0,5.44,<,0.05
192439,"F(1, 56) = 4.66, p < .05",f,1.0,56.0,4.66,<,0.05
185994,"F(1, 69) = 6.37, p < .05",f,1.0,69.0,6.37,<,0.05
197696,"t(55) = 1.97, p < 0.05",t,55.0,,1.97,<,0.05
43797,"F(2, 76) = 4.17, p <.02",f,2.0,76.0,4.17,<,0.02
121369,"F(1,29) = 5.32, p < .05",f,1.0,29.0,5.32,<,0.05
62958,"F(1, 58) = 9.91, p   < .005",f,1.0,58.0,9.91,<,0.005
95514,"F(1, 81) = 19.52, p   < .001",f,1.0,81.0,19.52,<,0.001
139733,"F(1, 617) = 217.36, p < .001",f,1.0,617.0,217.36,<,0.001
71711,"F(1, 118) = 112.89, p < .001",f,1.0,118.0,112.89,<,0.001
185068,"F(6, 320) = 2.36, p < .03",f,6.0,320.0,2.36,<,0.03
49726,"F(4, 218) = 5.24, p < .01",f,4.0,218.0,5.24,<,0.01
125206,"F(1, 34) = 88.34, p < .001",f,1.0,34.0,88.34,<,0.001
195466,"F(2, 94) = 3.98, p < .05",f,2.0,94.0,3.98,<,0.05
190007,"t(3) = 4.03, p < .025",t,3.0,,4.03,<,0.025
17545,"F(1, 222) = 54.20, p <   .01",f,1.0,222.0,54.2,<,0.01
150251,"t(56) = −3.35, p = .002",t,56.0,,-3.35,=,0.002
68262,"F(6, 68)   = 13.82,  p   < .001",f,6.0,68.0,13.82,<,0.001
190544,"F(1, 600) = 94.01, p < .0001",f,1.0,600.0,94.01,<,0.0001
26469,"F(1, 91) = 6.13, p < .05",f,1.0,91.0,6.13,<,0.05
5369,"t(117) = 2.18, p < .04",t,117.0,,2.18,<,0.04
166557,"F(1, 161) = 3.2, p < .05",f,1.0,161.0,3.2,<,0.05
15762,"F(2, 130)   = 3.18,    p   < .05",f,2.0,130.0,3.18,<,0.05
39079,"t(52) = 2.48, p < .02",t,52.0,,2.48,<,0.02
142799,"F(4, 76) = 2.77, p < .05",f,4.0,76.0,2.77,<,0.05
107849,"F(9, 14) = 4.07, p < .001",f,9.0,14.0,4.07,<,0.001
134140,"F(2, 39) = 4.66, p < .05",f,2.0,39.0,4.66,<,0.05
81804,"F(3, 55)   = 2.89,  p   < .05",f,3.0,55.0,2.89,<,0.05
151833,"F(3, 267) = 10.74, p < .001",f,3.0,267.0,10.74,<,0.001
60058,"F(8, 192) = 2.86, p <.02",f,8.0,192.0,2.86,<,0.02
174063,"F(6, 120) = 3.27, p < .006",f,6.0,120.0,3.27,<,0.006
147324,"F(1, 181) = 4.19, p < .05",f,1.0,181.0,4.19,<,0.05
194854,"F(4, 327) = 2.35, p < .05",f,4.0,327.0,2.35,<,0.05
540,"F(1, 22) = 24.6, p <.01",f,1.0,22.0,24.6,<,0.01
94440,"F(1, 133) = 16.04, p   < .001",f,1.0,133.0,16.04,<,0.001
51649,"F(1, 148) = 3.67, p = .028",f,1.0,148.0,3.67,=,0.028
111041,"F(4, 88) = 96.69, p < .001",f,4.0,88.0,96.69,<,0.001
90754,"F(1, 59) = 23.75, p = .001",f,1.0,59.0,23.75,=,0.001
78194,"F(1, 224) = 11.47, p < .001",f,1.0,224.0,11.47,<,0.001
188899,"t(75) = −2.474, p = 0.016",t,75.0,,-2.474,=,0.016
102560,"F(2, 136) = 16.31, p < .001",f,2.0,136.0,16.31,<,0.001
63150,"F(1, 82) = 3.98, p < .05",f,1.0,82.0,3.98,<,0.05
169763,"t(123) = 2.11, p = .04",t,123.0,,2.11,=,0.04
189179,"t(283) = 2.21, p <.05",t,283.0,,2.21,<,0.05
57302,"F(1, 63) = 9.55, p < .01",f,1.0,63.0,9.55,<,0.01
67532,"F(1, 56) = 15.51, p < .0002",f,1.0,56.0,15.51,<,0.0002
40303,"F(1, 70) = 10.61, p = .002",f,1.0,70.0,10.61,=,0.002
80146,"F(1, 78) = 5.67, p < .03",f,1.0,78.0,5.67,<,0.03
174703,"t(2328) = 15.21, p < .001",t,2328.0,,15.21,<,0.001
73685,"F(1, 68) = 12.82, p = .001",f,1.0,68.0,12.82,=,0.001
34986,"F(1, 97) = 11.46, p < .001",f,1.0,97.0,11.46,<,0.001
153533,"F(1, 15) = 32.28, p < .001",f,1.0,15.0,32.28,<,0.001
68829,"t(264) = 8.60, p < .001",t,264.0,,8.6,<,0.001
85164,"F(1, 51) = 3.91, p =.05",f,1.0,51.0,3.91,=,0.05
141625,"F(1, 143) = 28.69, p < .001",f,1.0,143.0,28.69,<,0.001
177534,"F(1, 40) = 6.75, p < .05",f,1.0,40.0,6.75,<,0.05
173638,"F(2, 76) = 6.03, p   < .05",f,2.0,76.0,6.03,<,0.05
80372,"t(219) = 2.92, p < .01",t,219.0,,2.92,<,0.01
141911,"F(1, 59) = 5.65, p < .02",f,1.0,59.0,5.65,<,0.02
190637,"F(1, 11) = 115.58, p < .001",f,1.0,11.0,115.58,<,0.001
119200,"t(28) = 2.85, p    < .01",t,28.0,,2.85,<,0.01
126225,"t(36) = 6.6, p < .001",t,36.0,,6.6,<,0.001
20121,"F(1, 142) = 10.81, p < .01",f,1.0,142.0,10.81,<,0.01
192507,"t(23) = 4.75, p < .001",t,23.0,,4.75,<,0.001
45032,"t(44) = 4.78, p < .0001",t,44.0,,4.78,<,0.0001
106072,"F(1, 14) = 9.0, p < .01",f,1.0,14.0,9.0,<,0.01
91206,"F(1, 23) = 7.44, p < .05",f,1.0,23.0,7.44,<,0.05
73087,"F(1, 43) = 34.16, p < .0001",f,1.0,43.0,34.16,<,0.0001
196290,"F(1, 40) = 1.23, p    > .05",f,1.0,40.0,1.23,>,0.05
1304,"t(48) = 5.38, p < .0001",t,48.0,,5.38,<,0.0001
168327,"F(4, 116) = 1.18, p > .05",f,4.0,116.0,1.18,>,0.05
174638,"F(12, 1400) = 3.20, p < .001",f,12.0,1400.0,3.2,<,0.001
34186,"F(3, 96) = 22.58, p < .01",f,3.0,96.0,22.58,<,0.01
33004,"F(1, 36) = 7.12, p   < .02",f,1.0,36.0,7.12,<,0.02
36698,"t(57) = −2.05, p = .05",t,57.0,,-2.05,=,0.05
3248,"F(1, 55) = 7.92, p = .007",f,1.0,55.0,7.92,=,0.007
155767,"F(1, 10) = 22.04, p < .001",f,1.0,10.0,22.04,<,0.001
140544,"F(4, 155)   = 7.67, p   < .001",f,4.0,155.0,7.67,<,0.001
156071,"F(1, 32) = 30.3, p < .0001",f,1.0,32.0,30.3,<,0.0001
1738,"F(2, 82) = 3.21, p < .05",f,2.0,82.0,3.21,<,0.05
173893,"F(3, 57) = 5.62, p =.02",f,3.0,57.0,5.62,=,0.02
176526,"F(2, 595) = 16.561, p < .0001",f,2.0,595.0,16.561,<,0.0001
98150,"F(1, 109) = 28.11, p < .0001",f,1.0,109.0,28.11,<,0.0001
93656,"F(1, 91) = 3.97, p = .049",f,1.0,91.0,3.97,=,0.049
116295,"F(1, 29) = 51.62, p < .001",f,1.0,29.0,51.62,<,0.001
138580,"F(1, 65) = 136.79, p <.01",f,1.0,65.0,136.79,<,0.01
90745,"F(18, 105) = 2.84, p < .001",f,18.0,105.0,2.84,<,0.001
87428,"F(2, 106) = 5.14, p = .007",f,2.0,106.0,5.14,=,0.007
127277,"t(2, 337) =   5.64, p < .001",t,337.0,,5.64,<,0.001
167112,"F(2, 132) = 3.5, p < .05",f,2.0,132.0,3.5,<,0.05
139644,"F(2, 57) = 6.09, p < .004",f,2.0,57.0,6.09,<,0.004
97015,"F(1, 97) = 9.11, p   < .01",f,1.0,97.0,9.11,<,0.01
158374,"F(2, 116) = 60.08, p < .001",f,2.0,116.0,60.08,<,0.001
179535,"t(145) = 1.98, p =.05",t,145.0,,1.98,=,0.05
196911,"F(1, 54)   = 467.99,  p   < .001",f,1.0,54.0,467.99,<,0.001
123128,"F(2, 68) = 15.68, p   < .001",f,2.0,68.0,15.68,<,0.001
183078,"F(1, 12) = 14.28, p < .01",f,1.0,12.0,14.28,<,0.01
68215,"F(1, 56) = 5.71, p < .05",f,1.0,56.0,5.71,<,0.05
111678,"t(19) = 8.43, p < .05",t,19.0,,8.43,<,0.05
39222,"F(1, 37) = 6.83, p   < .02",f,1.0,37.0,6.83,<,0.02
70947,"t(24) = 3.56, p <.001",t,24.0,,3.56,<,0.001
38,"F(1, 58) = 50.6, p < .001",f,1.0,58.0,50.6,<,0.001
195026,"t(63) = 4.80, p < .001",t,63.0,,4.8,<,0.001
8692,"t(18) = 4.98, p < .04",t,18.0,,4.98,<,0.04
104029,"F(1, 232) = 78.46, p < .001",f,1.0,232.0,78.46,<,0.001
197345,"F(2, 23) = 4.45, p = .02",f,2.0,23.0,4.45,=,0.02
7775,"t(45) = 2.19, p <.05",t,45.0,,2.19,<,0.05
147176,"F(2, 401) = 4.93, p < .01",f,2.0,401.0,4.93,<,0.01
24162,"t(253) = 9.99, p < .001",t,253.0,,9.99,<,0.001
54929,"F(2, 121) = 5.41, p < .01",f,2.0,121.0,5.41,<,0.01
78117,"t(27) = 2.71, p =.01",t,27.0,,2.71,=,0.01
55862,"F(2, 48) = 4.05, p   < .05",f,2.0,48.0,4.05,<,0.05
95908,"F(3, 78) = 14.05,   p < .001",f,3.0,78.0,14.05,<,0.001
192145,"t(271) = 3.40, p <.01",t,271.0,,3.4,<,0.01
54304,"t(31) = 2.77, p < .01",t,31.0,,2.77,<,0.01
167100,"F(3, 57) = 11.42, p < .001",f,3.0,57.0,11.42,<,0.001
84417,"t(93) = 14.26, p < .001",t,93.0,,14.26,<,0.001
1154,"F(1, 31) = 10.67, p < .005",f,1.0,31.0,10.67,<,0.005
78183,"F(1, 232) = 4.96, p = .027",f,1.0,232.0,4.96,=,0.027
23915,"F(3, 63) = 3.82, p = .01",f,3.0,63.0,3.82,=,0.01
